Name	Length	EffectiveLength	TPM	NumReads
lcl|NZ_CP020549.1_cds_WP_000660615.1_1	1362	1112.000	40.101822	479.000
lcl|NZ_CP020549.1_cds_WP_000581157.1_2	1137	887.000	59.825263	570.000
lcl|NZ_CP020549.1_cds_WP_000285194.1_3	195	8.348	457.247114	41.000
lcl|NZ_CP020549.1_cds_WP_001218707.1_4	1116	866.000	96.214056	895.000
lcl|NZ_CP020549.1_cds_WP_000163932.1_5	570	320.000	27.056172	93.000
lcl|NZ_CP020549.1_cds_WP_000258108.1_6	3510	3260.000	14.535620	509.000
lcl|NZ_CP020549.1_cds_WP_001234978.1_7	267	27.299	248.944004	73.000
lcl|NZ_CP020549.1_cds_WP_000041909.1_8	369	119.000	83.708545	107.000
lcl|NZ_CP020549.1_cds_WP_001224760.1_9	1269	1019.000	42.299982	463.000
lcl|NZ_CP020549.1_cds_WP_001208981.1_10	1278	1028.000	26.443754	292.000
lcl|NZ_CP020549.1_cds_WP_000892184.1_11	543	293.000	182.380183	574.000
lcl|NZ_CP020549.1_cds_WP_000744551.1_12	1959	1709.000	367.701233	6750.000
lcl|NZ_CP020549.1_cds_13	805	555.000	4.864502	29.000
lcl|NZ_CP020549.1_cds_WP_000939545.1_14	237	15.531	41.960344	7.000
lcl|NZ_CP020549.1_cds_WP_000205044.1_15	1287	1037.000	234.402097	2611.000
lcl|NZ_CP020549.1_cds_WP_050213885.1_16	1149	899.000	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_000122589.1_17	924	674.000	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_000136455.1_18	384	134.000	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_000466344.1_19	363	113.000	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_000041097.1_20	222	12.150	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_000389576.1_21	147	5.040	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_000032094.1_22	204	9.377	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_208912179.1_23	717	467.000	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_000370959.1_24	258	22.871	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_000462826.1_25	321	71.167	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_000391804.1_26	300	51.326	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_001185498.1_27	789	539.000	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_000511766.1_28	159	5.631	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_000228203.1_29	771	521.000	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_000470343.1_30	195	8.348	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_208912180.1_31	237	15.531	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_001105096.1_32	192	8.045	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_208912248.1_33	228	13.360	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_000516820.1_34	465	215.000	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_001028147.1_35	543	293.000	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_223842409.1_36	207	9.766	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_000601030.1_37	486	236.000	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_000230006.1_38	1713	1463.000	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_001812652.1_39	1143	893.000	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_000413203.1_40	543	293.000	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_000855224.1_41	1254	1004.000	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_000154006.1_42	336	86.025	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_000842790.1_43	306	56.785	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_001074487.1_44	348	98.004	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_000534621.1_45	345	95.007	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_000221469.1_46	669	419.000	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_000591561.1_47	477	227.000	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_000852167.1_48	2739	2489.000	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_000161553.1_49	723	473.000	0.000000	0.000
lcl|NZ_CP020549.1_cds_50	1332	1082.000	0.000000	0.000
lcl|NZ_CP020549.1_cds_51	823	573.000	0.000000	0.000
lcl|NZ_CP020549.1_cds_52	562	312.000	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_208912186.1_53	2997	2747.000	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_001091107.1_54	204	9.377	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_000852249.1_55	351	101.003	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_001165344.1_56	417	167.000	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_001186229.1_57	333	83.038	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_138026281.1_58	969	719.000	1.735691	13.405
lcl|NZ_CP020549.1_cds_WP_001209433.1_59	180	6.996	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_001030863.1_60	150	5.178	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_000291870.1_61	468	218.000	23.914698	56.000
lcl|NZ_CP020549.1_cds_WP_000701992.1_62	444	194.000	55.186072	115.000
lcl|NZ_CP020549.1_cds_WP_000691236.1_63	516	266.000	48.298187	138.000
lcl|NZ_CP020549.1_cds_WP_075213698.1_64	1362	1112.000	33.739111	403.000
lcl|NZ_CP020549.1_cds_WP_001809263.1_65	498	248.000	189.571511	505.000
lcl|NZ_CP020549.1_cds_WP_000272773.1_66	816	566.000	85.201395	518.000
lcl|NZ_CP020549.1_cds_WP_000010163.1_67	969	719.000	351.669136	2716.000
lcl|NZ_CP020549.1_cds_68	908	658.000	8.206075	58.000
lcl|NZ_CP020549.1_cds_WP_001842036.1_69	2634	2384.000	85.755002	2196.000
lcl|NZ_CP020549.1_cds_WP_000076500.1_70	438	188.000	82.697427	167.000
lcl|NZ_CP020549.1_cds_WP_000009179.1_71	1011	761.000	73.400661	600.000
lcl|NZ_CP020549.1_cds_WP_000366376.1_72	1170	920.000	88.138104	871.000
lcl|NZ_CP020549.1_cds_WP_000616164.1_73	771	521.000	64.506408	361.000
lcl|NZ_CP020549.1_cds_WP_000717456.1_74	993	743.000	39.343611	314.000
lcl|NZ_CP020549.1_cds_WP_000136447.1_75	234	14.754	170.366128	27.000
lcl|NZ_CP020549.1_cds_WP_001093075.1_76	231	14.032	345.004369	52.000
lcl|NZ_CP020549.1_cds_WP_000756776.1_77	195	8.348	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_000343888.1_78	894	644.000	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_000837726.1_79	297	48.689	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_000698828.1_80	1137	887.000	0.000000	0.000
